Timestamp,heart_rate,temperature,respiration,steps,sleep_hours,stress_level,spo2,calories,activity_type,fatigue_level
2026-04-01 08:00,78,36.8,16,5000,7.2,low,98,1800,resting,low
2026-04-01 12:00,95,37.2,20,7000,7.2,medium,97,2200,walking,medium
2026-04-01 18:00,105,37.8,22,8500,7.2,high,96,2600,running,high
2026-04-02 08:00,72,36.6,15,4000,6.5,low,99,1700,resting,low
2026-04-02 12:00,88,37.0,18,6000,6.5,medium,97,2100,walking,medium
2026-04-02 18:00,110,38.0,24,7500,6.5,high,95,2500,running,high
2026-04-03 08:00,70,36.5,14,3000,5.8,low,99,1600,resting,low
2026-04-03 12:00,92,37.3,19,5000,5.8,medium,97,2000,walking,medium
2026-04-03 18:00,115,38.2,25,6500,5.8,high,95,2400,running,high
2026-04-04 08:00,75,36.7,16,3500,6.0,low,98,1650,resting,low
2026-04-04 12:00,98,37.4,21,5500,6.0,medium,96,2050,walking,medium
2026-04-04 18:00,120,38.5,26,7000,6.0,high,94,2450,running,high
2026-04-05 08:00,68,36.4,14,6000,7.5,low,99,1750,resting,low
2026-04-05 12:00,85,37.1,18,8000,7.5,medium,97,2150,walking,medium
2026-04-05 18:00,100,37.6,21,9500,7.5,high,96,2550,running,high
2026-04-06 08:00,74,36.7,15,4500,6.8,low,98,1700,resting,low
2026-04-06 12:00,90,37.2,19,6500,6.8,medium,97,2100,walking,medium
2026-04-06 18:00,108,38.1,23,8000,6.8,high,95,2500,running,high
2026-04-07 08:00,69,36.5,14,5200,7.0,low,99,1800,resting,low
2026-04-07 12:00,87,37.1,18,7200,7.0,medium,97,2200,walking,medium
2026-04-07 18:00,102,37.7,22,8800,7.0,high,96,2600,running,high
